plot,insolation,elevation,soil_water_content
1,15468,89.7,0.147950868443901
2,11215,108.27,0.22350780174296
3,14698,116.07,0.130210039621017
4,17299,153.32,0.147535833263999
5,9927,151.95,8.35855338825039
6,15217,148.38,NA
7,12533,164.36,NA
9,12071,185.25,0.124221888406745
10,16630,170.73,NA
11,16337,156.77,NA
12,15192,175.28,6.55375211760125
13,11725,182.66,0.170609961649016
14,17344,121.44,9.45564519427585
15,12909,118.2,0.180433666582097
16,17418,127.25,5.36544928934182
17,13993,187.52,7.14651437057464
18,17259,116.56,NA
19,12626,131.44,0.134043391774082
20,14092,83.27,0.208015219825564
21,13597,106.41,0.294360523040428
22,14677,104.15,0.307099746370241
23,14783,175.74,6.69536069424381
24,14810,106.99,0.272115665252599
25,14151,104.43,0.239342185893609
26,12597,128.96,6.00371587901674
27,9524,185.96,0.193319574832657
28,15150,109.06,0.267119849236468
30,16242,164.1,NA
31,14754,110.95,NA
34,16554,128.48,4.37829077237613
35,12135,163.76,0.223794224202907
37,16416,192.36,NA
38,16268,125.92,NA
39,14414,169.67,0.141994370381414
40,15971,106.12,0.13019605033624
41,13466,183.27,0.110601397626035
42,13188,133.18,0.142932825466303
43,9910,147.52,0.145952294093563
45,14255,79.86,0.135789262387323
46,11257,160.2,0.104283808550084
47,11465,72.54,0.174297318345174
48,9621,117.61,0.20781469745876
49,17273,152.06,NA
50,9612,99.55,0.140815715214699
